,edition,name,athlete_id,medal,year,season,sex,country,country_appearances
3,1900 Summer Olympics,Margaret Abbott,18138,Gold,1900,Summer,Female, United States,15
4,1900 Summer Olympics,Marion Jones,2736,Bronze,1900,Summer,Female, United States,15
5,1900 Summer Olympics,Marion Jones,2736,Bronze,1900,Summer,Female, United States,15
8,1900 Summer Olympics,Marion Jones,2736,Bronze,1900,Summer,Female, United States,15
9,1900 Summer Olympics,Marion Jones,2736,Bronze,1900,Summer,Female, United States,15
10,1900 Summer Olympics,Marion Jones,2736,Bronze,1900,Summer,Female, United States,15
13,1900 Summer Olympics,Marion Jones,2736,Bronze,1900,Summer,Female, United States,15
21,1900 Summer Olympics,Abbie Pratt,18191,Bronze,1900,Summer,Female, France,31
42,1900 Summer Olympics,Yvonne Prévost,2458,Silver,1900,Summer,Female, France,31
44,1900 Summer Olympics,Yvonne Prévost,2458,Silver,1900,Summer,Female, France,31
47,1900 Summer Olympics,Yvonne Prévost,2458,Silver,1900,Summer,Female, France,31
49,1900 Summer Olympics,"Hélène, Countess de Pourtalès",61789,Silver,1900,Summer,Female, Switzerland,4
51,1900 Summer Olympics,"Hélène, Countess de Pourtalès",61789,Gold,1900,Summer,Female, Switzerland,4
52,1900 Summer Olympics,Polly Whittier,18210,Silver,1900,Summer,Female, Switzerland,4
53,1900 Summer Olympics,Charlotte Cooper,45,Gold,1900,Summer,Female, Great Britain,5
57,1900 Summer Olympics,Charlotte Cooper,45,Gold,1900,Summer,Female, Great Britain,5
58,1900 Summer Olympics,Hedwig Rosenbaum,694,Bronze,1900,Summer,Female, Bohemia,3
59,1900 Summer Olympics,Hedwig Rosenbaum,694,Bronze,1900,Summer,Female, Bohemia,3
60,1900 Summer Olympics,Hedwig Rosenbaum,694,Bronze,1900,Summer,Female, Bohemia,3
62,1904 Summer Olympics,Lida Howell,2209,Gold,1904,Summer,Female, United States,23
65,1904 Summer Olympics,Emma Cooke,2206,Silver,1904,Summer,Female, United States,23
67,1904 Summer Olympics,Sam Jones,18272,Gold,1904,Summer,Female, United States,23
68,1904 Summer Olympics,Lida Howell,2209,Gold,1904,Summer,Female, United States,23
70,1904 Summer Olympics,Leonie Taylor,2219,Gold,1904,Summer,Female, United States,23
71,1904 Summer Olympics,Eliza Pollock,2215,Bronze,1904,Summer,Female, United States,23
72,1904 Summer Olympics,Eliza Pollock,2215,Bronze,1904,Summer,Female, United States,23
76,1904 Summer Olympics,Emma Cooke,2206,Silver,1904,Summer,Female, United States,23
77,1904 Summer Olympics,Eliza Pollock,2215,Gold,1904,Summer,Female, United States,23
80,1904 Summer Olympics,Lida Howell,2209,Gold,1904,Summer,Female, United States,23
83,1904 Summer Olympics,Emily Woodruff,2222,Gold,1904,Summer,Female, United States,23
85,1908 Summer Olympics,Dorothy Lambert Chambers,57,Gold,1908,Summer,Female, Great Britain,46
87,1908 Summer Olympics,Ruth Winch,71,Bronze,1908,Summer,Female, Great Britain,46
89,1908 Summer Olympics,Dora Boothby,40,Silver,1908,Summer,Female, Great Britain,46
91,1908 Summer Olympics,Frances Rivett-Carnac,61038,Gold,1908,Summer,Female, Great Britain,46
93,1908 Summer Olympics,Phyllis Johnson,81419,Silver,1908,Summer,Female, Great Britain,46
109,1908 Summer Olympics,Lottie Dod,536,Silver,1908,Summer,Female, Great Britain,46
110,1908 Summer Olympics,Sybil Newall,549,Gold,1908,Summer,Female, Great Britain,46
118,1908 Summer Olympics,Madge Syers,82508,Gold,1908,Summer,Female, Great Britain,46
119,1908 Summer Olympics,Madge Syers,82508,Bronze,1908,Summer,Female, Great Britain,46
120,1908 Summer Olympics,Dorothy Greenhough-Smith,81193,Bronze,1908,Summer,Female, Great Britain,46
122,1908 Summer Olympics,Beatrice Hill-Lowe,544,Bronze,1908,Summer,Female, Great Britain,46
125,1908 Summer Olympics,Alice Greene,51,Silver,1908,Summer,Female, Great Britain,46
129,1908 Summer Olympics,Gladys Eastlake-Smith,47,Gold,1908,Summer,Female, Great Britain,46
135,1908 Summer Olympics,Märtha Adlerstråhle,2585,Bronze,1908,Summer,Female, Sweden,3
141,1908 Summer Olympics,Annie Hübler,81336,Gold,1908,Summer,Female, Germany,2
142,1908 Summer Olympics,Elsa Rendschmidt,82177,Silver,1908,Summer,Female, Germany,2
145,1912 Summer Olympics,Annie Speirs,47150,Gold,1912,Summer,Female, Great Britain,18
147,1912 Summer Olympics,Jennie Fletcher,47020,Bronze,1912,Summer,Female, Great Britain,18
148,1912 Summer Olympics,Belle White,47169,Bronze,1912,Summer,Female, Great Britain,18
150,1912 Summer Olympics,Jennie Fletcher,47020,Gold,1912,Summer,Female, Great Britain,18
151,1912 Summer Olympics,Isabella Moore,47105,Gold,1912,Summer,Female, Great Britain,18
153,1912 Summer Olympics,Irene Steer,47152,Gold,1912,Summer,Female, Great Britain,18
154,1912 Summer Olympics,Edith Hannam,52,Gold,1912,Summer,Female, Great Britain,18
155,1912 Summer Olympics,Edith Hannam,52,Gold,1912,Summer,Female, Great Britain,18
156,1912 Summer Olympics,Mabel Parton,64,Bronze,1912,Summer,Female, Great Britain,18
160,1912 Summer Olympics,Helen Aitchison,38,Silver,1912,Summer,Female, Great Britain,18
162,1912 Summer Olympics,Berta Zahourek,45366,Bronze,1912,Summer,Female, Austria,10
164,1912 Summer Olympics,Klara Milch,45343,Bronze,1912,Summer,Female, Austria,10
168,1912 Summer Olympics,Fini Sticker,45357,Bronze,1912,Summer,Female, Austria,10
169,1912 Summer Olympics,Grete Adler,45319,Bronze,1912,Summer,Female, Austria,10
180,1912 Summer Olympics,Dora Köring,128,Gold,1912,Summer,Female, Germany,14
181,1912 Summer Olympics,Dora Köring,128,Silver,1912,Summer,Female, Germany,14
183,1912 Summer Olympics,Louise Otto,47715,Silver,1912,Summer,Female, Germany,14
185,1912 Summer Olympics,Wally Dressel,47647,Silver,1912,Summer,Female, Germany,14
188,1912 Summer Olympics,Hermine Stindt,47750,Silver,1912,Summer,Female, Germany,14
189,1912 Summer Olympics,Grete Rosenberg,47727,Silver,1912,Summer,Female, Germany,14
190,1912 Summer Olympics,Fanny Durack,45034,Gold,1912,Summer,Female, Australasia,2
191,1912 Summer Olympics,Mina Wylie,45146,Silver,1912,Summer,Female, Australasia,2
193,1912 Summer Olympics,Greta Johansson,50258,Gold,1912,Summer,Female, Sweden,40
207,1912 Summer Olympics,Sigrid Fick,2594,Bronze,1912,Summer,Female, Sweden,40
210,1912 Summer Olympics,Lisa Regnell,50308,Silver,1912,Summer,Female, Sweden,40
230,1912 Summer Olympics,Sigrid Fick,2594,Silver,1912,Summer,Female, Sweden,40
238,1912 Summer Olympics,Sofie Castenschiold,2359,Silver,1912,Summer,Female, Denmark,2
242,1920 Summer Olympics,Alexia Bryn,82324,Silver,1920,Summer,Female, Norway,7
272,1920 Summer Olympics,Milada Skrbková,2646,Bronze,1920,Summer,Female, Czechoslovakia,2
279,1920 Summer Olympics,Suzanne Lenglen,2455,Gold,1920,Summer,Female, France,15
280,1920 Summer Olympics,Henriette Brossin de Méré-de Polanska,920282,Silver,1920,Summer,Female, France,15
285,1920 Summer Olympics,Élisabeth d'Ayen,2447,Bronze,1920,Summer,Female, France,15
286,1920 Summer Olympics,Suzanne Lenglen,2455,Gold,1920,Summer,Female, France,15
287,1920 Summer Olympics,Suzanne Lenglen,2455,Bronze,1920,Summer,Female, France,15
288,1920 Summer Olympics,Ethelda Bleibtrey,50967,Gold,1920,Summer,Female, United States,20
289,1920 Summer Olympics,Irene Guest,51040,Gold,1920,Summer,Female, United States,20
290,1920 Summer Olympics,Frances Schroth,51182,Bronze,1920,Summer,Female, United States,20
292,1920 Summer Olympics,Margaret Woodbridge,51243,Gold,1920,Summer,Female, United States,20
293,1920 Summer Olympics,Margaret Woodbridge,51243,Silver,1920,Summer,Female, United States,20
295,1920 Summer Olympics,Frances Schroth,51182,Gold,1920,Summer,Female, United States,20
296,1920 Summer Olympics,Frances Schroth,51182,Bronze,1920,Summer,Female, United States,20
297,1920 Summer Olympics,Irene Guest,51040,Silver,1920,Summer,Female, United States,20
298,1920 Summer Olympics,Aileen Riggin,51168,Gold,1920,Summer,Female, United States,20
300,1920 Summer Olympics,Helen Wainwright,51228,Silver,1920,Summer,Female, United States,20
301,1920 Summer Olympics,Ethelda Bleibtrey,50967,Gold,1920,Summer,Female, United States,20
302,1920 Summer Olympics,Ethelda Bleibtrey,50967,Gold,1920,Summer,Female, United States,20
307,1920 Summer Olympics,Thelma Payne,51147,Bronze,1920,Summer,Female, United States,20
311,1920 Summer Olympics,Geraldine Beamish,39,Silver,1920,Summer,Female, Great Britain,32
313,1920 Summer Olympics,Winifred McNair,60,Gold,1920,Summer,Female, Great Britain,32
314,1920 Summer Olympics,Kitty McKane,59,Silver,1920,Summer,Female, Great Britain,32
315,1920 Summer Olympics,Phyllis Johnson,81419,Bronze,1920,Summer,Female, Great Britain,32
317,1920 Summer Olympics,Kitty McKane,59,Gold,1920,Summer,Female, Great Britain,32
318,1920 Summer Olympics,Kitty McKane,59,Bronze,1920,Summer,Female, Great Britain,32
320,1920 Summer Olympics,Dorothy Holman,53,Silver,1920,Summer,Female, Great Britain,32
321,1920 Summer Olympics,Dorothy Holman,53,Silver,1920,Summer,Female, Great Britain,32
323,1920 Summer Olympics,Hilda James,47067,Silver,1920,Summer,Female, Great Britain,32
325,1920 Summer Olympics,Charlotte Radcliffe,47126,Silver,1920,Summer,Female, Great Britain,32
328,1920 Summer Olympics,Grace McKenzie,47101,Silver,1920,Summer,Female, Great Britain,32
331,1920 Summer Olympics,Connie Jeans,47071,Silver,1920,Summer,Female, Great Britain,32
334,1920 Summer Olympics,Dorothy Wright,61084,Gold,1920,Summer,Female, Great Britain,32
337,1920 Summer Olympics,Eileen Armstrong,46963,Silver,1920,Summer,Female, Great Britain,32
371,1920 Summer Olympics,Ludowika Jakobsson-Eilers,81010,Gold,1920,Summer,Female, Finland,1
373,1920 Summer Olympics,Jane Gylling,50245,Bronze,1920,Summer,Female, Sweden,21
375,1920 Summer Olympics,Aina Berg,50223,Bronze,1920,Summer,Female, Sweden,21
382,1920 Summer Olympics,Ewa Olliwier,50297,Bronze,1920,Summer,Female, Sweden,21
384,1920 Summer Olympics,Magda Julin,81426,Gold,1920,Summer,Female, Sweden,21
385,1920 Summer Olympics,Svea Norén,81948,Silver,1920,Summer,Female, Sweden,21
388,1920 Summer Olympics,Carin Nilsson,50291,Bronze,1920,Summer,Female, Sweden,21
389,1920 Summer Olympics,Emy Machnow,50288,Bronze,1920,Summer,Female, Sweden,21
402,1920 Summer Olympics,Stefanie Clausen,46261,Gold,1920,Summer,Female, Denmark,7
416,1924 Summer Olympics,Gladys Davis,20668,Silver,1924,Summer,Female, Great Britain,39
417,1924 Summer Olympics,Florrie Barker,46970,Silver,1924,Summer,Female, Great Britain,39
422,1924 Summer Olympics,Vera Tanner,47157,Silver,1924,Summer,Female, Great Britain,39
426,1924 Summer Olympics,Dorothy Margaret Stuart,920551,Silver,1924,Summer,Female, Great Britain,39
430,1924 Summer Olympics,Irene Hatch,2000037,Silver,1924,Summer,Female, Great Britain,39
431,1924 Summer Olympics,Phyllis Harding,47047,Silver,1924,Summer,Female, Great Britain,39
434,1924 Summer Olympics,Lucy Morton,47108,Gold,1924,Summer,Female, Great Britain,39
435,1924 Summer Olympics,Gladys Carson,46991,Bronze,1924,Summer,Female, Great Britain,39
438,1924 Summer Olympics,Dorothy Shepherd-Barron,68,Bronze,1924,Summer,Female, Great Britain,39
441,1924 Summer Olympics,Phyllis Covell,46,Silver,1924,Summer,Female, Great Britain,39
442,1924 Summer Olympics,Evelyn Colyer,44,Bronze,1924,Summer,Female, Great Britain,39
443,1924 Summer Olympics,Kitty McKane,59,Silver,1924,Summer,Female, Great Britain,39
448,1924 Summer Olympics,Connie Jeans,47071,Silver,1924,Summer,Female, Great Britain,39
449,1924 Summer Olympics,Grace McKenzie,47101,Silver,1924,Summer,Female, Great Britain,39
450,1924 Summer Olympics,Kitty McKane,59,Bronze,1924,Summer,Female, Great Britain,39
454,1924 Summer Olympics,Kea Bouman,983,Bronze,1924,Summer,Female, Netherlands,17
470,1924 Summer Olympics,Aileen Riggin,51168,Bronze,1924,Summer,Female, United States,33
471,1924 Summer Olympics,Helen Wainwright,51228,Silver,1924,Summer,Female, United States,33
473,1924 Summer Olympics,Aileen Riggin,51168,Silver,1924,Summer,Female, United States,33
475,1924 Summer Olympics,Mariechen Wehselau,51233,Silver,1924,Summer,Female, United States,33
476,1924 Summer Olympics,Mariechen Wehselau,51233,Gold,1924,Summer,Female, United States,33
477,1924 Summer Olympics,Trudy Ederle,51010,Bronze,1924,Summer,Female, United States,33
478,1924 Summer Olympics,Trudy Ederle,51010,Bronze,1924,Summer,Female, United States,33
479,1924 Summer Olympics,Trudy Ederle,51010,Gold,1924,Summer,Female, United States,33
480,1924 Summer Olympics,Martha Norelius,51140,Gold,1924,Summer,Female, United States,33
481,1924 Summer Olympics,Fraze Donnelly,51005,Gold,1924,Summer,Female, United States,33
482,1924 Summer Olympics,Sybil Bauer,50961,Gold,1924,Summer,Female, United States,33
484,1924 Summer Olympics,Agnes Geraghty,51027,Silver,1924,Summer,Female, United States,33
487,1924 Summer Olympics,Helen Wills,2744,Gold,1924,Summer,Female, United States,33
488,1924 Summer Olympics,Helen Wills,2744,Gold,1924,Summer,Female, United States,33
491,1924 Summer Olympics,Ethel Lackie,51091,Gold,1924,Summer,Female, United States,33
492,1924 Summer Olympics,Ethel Lackie,51091,Gold,1924,Summer,Female, United States,33
493,1924 Summer Olympics,Carol Fletcher,51019,Bronze,1924,Summer,Female, United States,33
494,1924 Summer Olympics,Carol Smith,51198,Gold,1924,Summer,Female, United States,33
497,1924 Summer Olympics,Hazel Wightman,2743,Gold,1924,Summer,Female, United States,33
498,1924 Summer Olympics,Marion Jessup,2734,Silver,1924,Summer,Female, United States,33
502,1924 Summer Olympics,Hazel Wightman,2743,Gold,1924,Summer,Female, United States,33
507,1924 Summer Olympics,Hjördis Töpel,50325,Bronze,1924,Summer,Female, Sweden,23
513,1924 Summer Olympics,Wivan Pettersson,50305,Bronze,1924,Summer,Female, Sweden,23
517,1924 Summer Olympics,Gulli Ewerlund,50238,Bronze,1924,Summer,Female, Sweden,23
523,1924 Summer Olympics,Hjördis Töpel,50325,Bronze,1924,Summer,Female, Sweden,23
525,1924 Summer Olympics,Aina Berg,50223,Bronze,1924,Summer,Female, Sweden,23
547,1924 Summer Olympics,Ellen Osiier,20599,Gold,1924,Summer,Female, Denmark,21
548,1924 Summer Olympics,Grete Heckscher,20592,Bronze,1924,Summer,Female, Denmark,21
590,1924 Summer Olympics,Julie Vlasto,2462,Silver,1924,Summer,Female, France,52
679,1928 Summer Olympics,Ruth Svedberg,76017,Bronze,1928,Summer,Female, Sweden,18
680,1928 Summer Olympics,Inga Gentzel,75989,Bronze,1928,Summer,Female, Sweden,18
687,1928 Summer Olympics,Lala Sjöqvist,50317,Bronze,1928,Summer,Female, Sweden,18
720,1928 Summer Olympics,Lien Gisolf,73730,Silver,1928,Summer,Female, Netherlands,70
723,1928 Summer Olympics,Marie Baron,49296,Silver,1928,Summer,Female, Netherlands,70
724,1928 Summer Olympics,Margo Scharten-Antink,921114,Bronze,1928,Summer,Female, Netherlands,70
733,1928 Summer Olympics,Nel van Randwijk,28884,Gold,1928,Summer,Female, Netherlands,70
734,1928 Summer Olympics,Ans Polak,28867,Gold,1928,Summer,Female, Netherlands,70
735,1928 Summer Olympics,Lea Nordheim,28866,Gold,1928,Summer,Female, Netherlands,70
736,1928 Summer Olympics,Alie van den Bos,28878,Gold,1928,Summer,Female, Netherlands,70
737,1928 Summer Olympics,Hendrika van Rumt,28886,Gold,1928,Summer,Female, Netherlands,70
738,1928 Summer Olympics,Annie van der Vegt,28879,Gold,1928,Summer,Female, Netherlands,70
739,1928 Summer Olympics,Elka de Levie,28855,Gold,1928,Summer,Female, Netherlands,70
740,1928 Summer Olympics,Co Stelma,28874,Gold,1928,Summer,Female, Netherlands,70
741,1928 Summer Olympics,Stella Agsteribbe,28850,Gold,1928,Summer,Female, Netherlands,70
742,1928 Summer Olympics,Mien van den Berg,28877,Gold,1928,Summer,Female, Netherlands,70
788,1928 Summer Olympics,Rhoda Rennie,49987,Bronze,1928,Summer,Female, South Africa,13
790,1928 Summer Olympics,Freddie van der Goes,49993,Bronze,1928,Summer,Female, South Africa,13
792,1928 Summer Olympics,Mary Bedford,49986,Bronze,1928,Summer,Female, South Africa,13
795,1928 Summer Olympics,Zus Engelenberg,49975,Bronze,1928,Summer,Female, South Africa,13
799,1928 Summer Olympics,Kathleen Russell,49990,Bronze,1928,Summer,Female, South Africa,13
805,1928 Summer Olympics,Jessie Cross,77794,Silver,1928,Summer,Female, United States,55
806,1928 Summer Olympics,Loretta McNeil,77914,Silver,1928,Summer,Female, United States,55
807,1928 Summer Olympics,Olive Hasenfus,923113,Silver,1928,Summer,Female, United States,55
808,1928 Summer Olympics,Edna Sayer,923115,Silver,1928,Summer,Female, United States,55
809,1928 Summer Olympics,Mildred Wiley,78011,Bronze,1928,Summer,Female, United States,55
813,1928 Summer Olympics,Lillian Copeland,77792,Silver,1928,Summer,Female, United States,55
816,1928 Summer Olympics,Georgia Coleman,50992,Bronze,1928,Summer,Female, United States,55
817,1928 Summer Olympics,Georgia Coleman,50992,Silver,1928,Summer,Female, United States,55
818,1928 Summer Olympics,Betty Becker-Pinkston,50963,Gold,1928,Summer,Female, United States,55
821,1928 Summer Olympics,Albina Osipowich,51143,Gold,1928,Summer,Female, United States,55
822,1928 Summer Olympics,Albina Osipowich,51143,Gold,1928,Summer,Female, United States,55
824,1928 Summer Olympics,Susan Laird,51093,Gold,1928,Summer,Female, United States,55
826,1928 Summer Olympics,Helen Meany,51119,Gold,1928,Summer,Female, United States,55
836,1928 Summer Olympics,Martha Norelius,51140,Gold,1928,Summer,Female, United States,55
837,1928 Summer Olympics,Mary Washburn,78002,Silver,1928,Summer,Female, United States,55
838,1928 Summer Olympics,Martha Norelius,51140,Gold,1928,Summer,Female, United States,55
842,1928 Summer Olympics,Betty Robinson,77953,Gold,1928,Summer,Female, United States,55
843,1928 Summer Olympics,Betty Robinson,77953,Silver,1928,Summer,Female, United States,55
846,1928 Summer Olympics,Elta Cartwright,77787,Silver,1928,Summer,Female, United States,55
847,1928 Summer Olympics,Josephine McKim,51116,Bronze,1928,Summer,Female, United States,55
849,1928 Summer Olympics,Josephine McKim,51116,Gold,1928,Summer,Female, United States,55
850,1928 Summer Olympics,Adelaide Lambert,51094,Gold,1928,Summer,Female, United States,55
857,1928 Summer Olympics,Jenny Thompson,65930,Gold,1928,Summer,Female, United States,55
912,1928 Summer Olympics,Kathleen Russell,49990,Bronze,1928,Summer,Female, Jamaica,2
915,1928 Summer Olympics,Helene Mayer,20711,Gold,1928,Summer,Female, Germany,53
916,1928 Summer Olympics,Olga Oelkers,20714,Bronze,1928,Summer,Female, Germany,53
924,1928 Summer Olympics,Hilde Schrader,47738,Gold,1928,Summer,Female, Germany,53
936,1928 Summer Olympics,Lotte Mühe,47707,Bronze,1928,Summer,Female, Germany,53
939,1928 Summer Olympics,Anni Holdmann,70009,Bronze,1928,Summer,Female, Germany,53
941,1928 Summer Olympics,Leni Schmidt,70102,Bronze,1928,Summer,Female, Germany,53
943,1928 Summer Olympics,Erna Steinberg,70111,Bronze,1928,Summer,Female, Germany,53
944,1928 Summer Olympics,Leni Junker,70019,Bronze,1928,Summer,Female, Germany,53
947,1928 Summer Olympics,Renée Sintenis,920722,Bronze,1928,Summer,Female, Germany,53
953,1928 Summer Olympics,Lina Radke-Batschauer,69945,Gold,1928,Summer,Female, Germany,53
957,1928 Summer Olympics,Grete Gericke,923052,Bronze,1928,Summer,Female, Germany,53
959,1928 Summer Olympics,Annelies Gerhardt,923051,Bronze,1928,Summer,Female, Germany,53
960,1928 Summer Olympics,Rosa Kellner,70021,Bronze,1928,Summer,Female, Germany,53
963,1928 Summer Olympics,Lisa Gelius,923050,Bronze,1928,Summer,Female, Germany,53
967,1928 Summer Olympics,Myrtle Cook,65834,Gold,1928,Summer,Female, Canada,15
969,1928 Summer Olympics,Ethel Smith,65923,Gold,1928,Summer,Female, Canada,15
970,1928 Summer Olympics,Ethel Smith,65923,Bronze,1928,Summer,Female, Canada,15
971,1928 Summer Olympics,Jane Bell,65816,Gold,1928,Summer,Female, Canada,15
972,1928 Summer Olympics,Bobby Rosenfeld,65913,Gold,1928,Summer,Female, Canada,15
976,1928 Summer Olympics,Jenny Thompson,65930,Gold,1928,Summer,Female, Canada,15
979,1928 Summer Olympics,Ethel Catherwood,65828,Gold,1928,Summer,Female, Canada,15
980,1928 Summer Olympics,Bobby Rosenfeld,65913,Silver,1928,Summer,Female, Canada,15
1014,1928 Summer Olympics,Virginie Hériot,60964,Gold,1928,Summer,Female, France,60
1049,1928 Summer Olympics,Laura Knight,920500,Silver,1928,Summer,Female, Great Britain,38
1050,1928 Summer Olympics,Ellen King,47082,Silver,1928,Summer,Female, Great Britain,38
1051,1928 Summer Olympics,Ellen King,47082,Silver,1928,Summer,Female, Great Britain,38
1052,1928 Summer Olympics,Vera Tanner,47157,Silver,1928,Summer,Female, Great Britain,38
1056,1928 Summer Olympics,Muriel Freeman,20671,Silver,1928,Summer,Female, Great Britain,38
1062,1928 Summer Olympics,Amy Jagger,28449,Bronze,1928,Summer,Female, Great Britain,38
1063,1928 Summer Olympics,Annie Broadbent,28430,Bronze,1928,Summer,Female, Great Britain,38
1064,1928 Summer Olympics,Carrie Pickles,28465,Bronze,1928,Summer,Female, Great Britain,38
1065,1928 Summer Olympics,Margaret Hartley,28442,Bronze,1928,Summer,Female, Great Britain,38
1066,1928 Summer Olympics,Ada Smith,28479,Bronze,1928,Summer,Female, Great Britain,38
1068,1928 Summer Olympics,Lucy Desmond,28436,Bronze,1928,Summer,Female, Great Britain,38
1069,1928 Summer Olympics,Doris Woods,28488,Bronze,1928,Summer,Female, Great Britain,38
1070,1928 Summer Olympics,Jessie Kite,28454,Bronze,1928,Summer,Female, Great Britain,38
1072,1928 Summer Olympics,Cissie Stewart,47154,Silver,1928,Summer,Female, Great Britain,38
1075,1928 Summer Olympics,Joyce Cooper,46996,Bronze,1928,Summer,Female, Great Britain,38
1076,1928 Summer Olympics,Joyce Cooper,46996,Silver,1928,Summer,Female, Great Britain,38
1077,1928 Summer Olympics,Joyce Cooper,46996,Bronze,1928,Summer,Female, Great Britain,38
1082,1928 Summer Olympics,Hilda Smith,28481,Bronze,1928,Summer,Female, Great Britain,38
1083,1928 Summer Olympics,Ethel Seymour,28477,Bronze,1928,Summer,Female, Great Britain,38
1084,1928 Summer Olympics,Midge Moreman,28460,Bronze,1928,Summer,Female, Great Britain,38
1085,1928 Summer Olympics,Queenie Judd,28451,Bronze,1928,Summer,Female, Great Britain,38
1096,1928 Summer Olympics,Carla Marangoni,28719,Silver,1928,Summer,Female, Italy,22
1097,1928 Summer Olympics,Germana Malabarba,28717,Silver,1928,Summer,Female, Italy,22
1098,1928 Summer Olympics,Rita Vittadini,28751,Silver,1928,Summer,Female, Italy,22
1099,1928 Summer Olympics,Virginia Giorgi,28708,Silver,1928,Summer,Female, Italy,22
1100,1928 Summer Olympics,Ines Vercesi,28750,Silver,1928,Summer,Female, Italy,22
1101,1928 Summer Olympics,Carolina Tronconi,28749,Silver,1928,Summer,Female, Italy,22
1102,1928 Summer Olympics,Anna Luisa Tanzini,28745,Silver,1928,Summer,Female, Italy,22
1103,1928 Summer Olympics,Luigina Giavotti,28707,Silver,1928,Summer,Female, Italy,22
1104,1928 Summer Olympics,Diana Pissavini,28732,Silver,1928,Summer,Female, Italy,22
1105,1928 Summer Olympics,Luigina Perversi,28727,Silver,1928,Summer,Female, Italy,22
1106,1928 Summer Olympics,Lavinia Gianani,28706,Silver,1928,Summer,Female, Italy,22
1107,1928 Summer Olympics,Bianca Ambrosetti,28681,Silver,1928,Summer,Female, Italy,22
1119,1928 Summer Olympics,Kinue Hitomi,72364,Silver,1928,Summer,Female, Japan,4
1146,1928 Summer Olympics,Halina Konopacka,74622,Gold,1928,Summer,Female, Poland,20
1162,1932 Summer Olympics,Ruth Miller,921576,Silver,1932,Summer,Female, United States,127
1173,1932 Summer Olympics,Josephine McKim,51116,Gold,1932,Summer,Female, United States,127
1181,1932 Summer Olympics,Jane Fauntz,51015,Bronze,1932,Summer,Female, United States,127
1193,1932 Summer Olympics,Eleanor Holm,51060,Gold,1932,Summer,Female, United States,127
1197,1932 Summer Olympics,Georgia Coleman,50992,Gold,1932,Summer,Female, United States,127
1203,1932 Summer Olympics,Jean Shiley,77967,Gold,1932,Summer,Female, United States,127
1204,1932 Summer Olympics,Lillian Copeland,77792,Gold,1932,Summer,Female, United States,127
1206,1932 Summer Olympics,Georgia Coleman,50992,Silver,1932,Summer,Female, United States,127
1223,1932 Summer Olympics,Helene Madison,51105,Gold,1932,Summer,Female, United States,127
1224,1932 Summer Olympics,Helene Madison,51105,Gold,1932,Summer,Female, United States,127
1225,1932 Summer Olympics,Helene Madison,51105,Gold,1932,Summer,Female, United States,127
1226,1932 Summer Olympics,Eleanor Garatti-Saville,51026,Bronze,1932,Summer,Female, United States,127
1227,1932 Summer Olympics,Eleanor Garatti-Saville,51026,Gold,1932,Summer,Female, United States,127
1229,1932 Summer Olympics,Helen Johns,51069,Gold,1932,Summer,Female, United States,127
1236,1932 Summer Olympics,Marion Roper,51170,Bronze,1932,Summer,Female, United States,127
1246,1932 Summer Olympics,Evelyne Hall,77852,Silver,1932,Summer,Female, United States,127
1248,1932 Summer Olympics,Mary Carew,77784,Gold,1932,Summer,Female, United States,127
1259,1932 Summer Olympics,Billie von Bremen,77997,Bronze,1932,Summer,Female, United States,127
1260,1932 Summer Olympics,Billie von Bremen,77997,Gold,1932,Summer,Female, United States,127
1263,1932 Summer Olympics,Ruth Osburn,77931,Silver,1932,Summer,Female, United States,127
1264,1932 Summer Olympics,Evelyn Furtsch,77835,Gold,1932,Summer,Female, United States,127
1265,1932 Summer Olympics,Annette Rogers,77955,Gold,1932,Summer,Female, United States,127
1268,1932 Summer Olympics,Tidye Pickett,77936,Gold,1932,Summer,Female, United States,127
1270,1932 Summer Olympics,Louise Stokes,923148,Gold,1932,Summer,Female, United States,127
1272,1932 Summer Olympics,Elizabeth Wilde,78010,Gold,1932,Summer,Female, United States,127
1275,1932 Summer Olympics,Ethel Harrington,77858,Gold,1932,Summer,Female, United States,127
1276,1932 Summer Olympics,Babe Didrikson,77808,Gold,1932,Summer,Female, United States,127
1278,1932 Summer Olympics,Babe Didrikson,77808,Silver,1932,Summer,Female, United States,127
1279,1932 Summer Olympics,Babe Didrikson,77808,Gold,1932,Summer,Female, United States,127
1280,1932 Summer Olympics,Katherine Rawls,51164,Silver,1932,Summer,Female, United States,127
1282,1932 Summer Olympics,Erna Bogen,20733,Bronze,1932,Summer,Female, Hungary,2
1294,1932 Summer Olympics,Hilda Strike,65926,Silver,1932,Summer,Female, Canada,25
1295,1932 Summer Olympics,Hilda Strike,65926,Silver,1932,Summer,Female, Canada,25
1297,1932 Summer Olympics,Mary Vandervliet,65934,Silver,1932,Summer,Female, Canada,25
1299,1932 Summer Olympics,Mary Frizzell,65849,Silver,1932,Summer,Female, Canada,25
1301,1932 Summer Olympics,Mildred Fizzell,65850,Silver,1932,Summer,Female, Canada,25
1302,1932 Summer Olympics,Lillian Palmer,65897,Silver,1932,Summer,Female, Canada,25
1303,1932 Summer Olympics,Aileen Meagher,65888,Silver,1932,Summer,Female, Canada,25
1304,1932 Summer Olympics,Eva Dawes,65838,Bronze,1932,Summer,Female, Canada,25
1314,1932 Summer Olympics,Hideko Maehata,48658,Silver,1932,Summer,Female, Japan,29
